district,upazilla,jute,pdsi,pdsi_class,aet,aet_class,vap,vap_class,srad,srad_class,soil_moisture,soil_moisture_class,pet,pet_class,def,def_class,vs,vs_class,vpd,vpd_class,pr,pr_class,ro,ro_class,aspect,aspect_class,slope,slope_class,drainage_density,drainage_class,soil_type,soil_type_class,elevation,elevation_class
BARGUNA,Amtali,not suitable,-0.285426,near normal,88.66336,high,2.820367,very high,207.542242,moderate,163.121667,low,114.929402,high,26.267448,moderate,1.921979,high,0.798994,very low,195.326628,moderate,106.354527,low,175.680856,moderate,1.852655,very low,0.208143,low,13.090909,Od,6.156275,very low
BARGUNA,Bamna,suitable,-0.333524,near normal,90.297776,very high,2.826099,very high,207.215745,moderate,164.001888,low,115.950807,high,25.653151,moderate,2.011843,high,0.807266,very low,175.799285,low,85.248506,low,175.546518,moderate,2.100281,very low,0.273166,low,8.0,Jc,10.519232,very low
BARGUNA,Borguna,moderately suitable,-0.296756,near normal,88.826456,high,2.825681,very high,207.403266,moderate,158.918021,low,115.449702,high,26.623243,moderate,1.987339,high,0.801569,very low,186.76087,low,97.615286,low,174.840247,moderate,1.888488,very low,0.205855,low,14.565789,Jt,8.768447,very low
BARGUNA,Betagi,suitable,-0.352485,near normal,90.741977,very high,2.819185,very high,207.283769,moderate,168.079254,low,115.474944,high,24.732874,moderate,1.981166,high,0.799736,very low,177.181979,low,86.168842,low,177.412256,moderate,2.803076,very low,0.25414,low,4.305556,Be,10.588462,very low
BARGUNA,Patharghata,marginally suitable,-0.201336,near normal,88.69468,high,2.831396,very high,207.13525,moderate,157.130191,low,115.729051,high,27.032651,moderate,2.004435,high,0.806641,very low,179.38428,low,90.329832,low,174.821688,moderate,1.853332,very low,0.15433,very low,15.0,Jt,7.913799,very low
BARISAL,Agailjhara,moderately suitable,-0.781999,near normal,91.851958,very high,2.725866,very high,206.897723,moderate,154.527196,low,113.844726,high,21.993143,low,1.425263,low,0.905182,moderate,149.686543,low,57.411957,very low,174.514386,moderate,1.689032,very low,0.401996,low,11.0,Gd,7.254896,very low
BARISAL,Babuganj,suitable,-0.731046,near normal,91.199671,very high,2.774258,very high,206.842424,moderate,164.991591,low,114.020097,high,22.819332,low,1.779722,high,0.805959,very low,154.630297,low,62.999999,very low,176.940553,moderate,2.530123,very low,0.244414,low,10.621622,Gc,10.119003,very low
BARISAL,Bakerganj,suitable,-0.480858,near normal,90.6879,very high,2.803361,very high,207.198022,moderate,169.458889,low,114.546543,high,23.857957,low,1.956759,high,0.78116,very low,173.412583,low,82.392483,low,176.112559,moderate,2.215058,very low,0.23911,low,4.0,Be,8.35305,very low
BARISAL,Banaripara (Barisal),not suitable,-0.704587,near normal,91.374187,very high,2.751055,very high,206.888357,moderate,160.715119,low,113.77302,high,22.397601,low,1.540822,moderate,0.861187,low,153.296231,low,61.53749,very low,175.65756,moderate,2.054543,very low,0.309983,low,6.1875,WR,9.049046,very low
BARISAL,Gournadi,suitable,-0.785717,near normal,91.901675,very high,2.74384,very high,206.83442,moderate,158.782603,low,114.187598,high,22.286146,low,1.614605,moderate,0.856981,low,150.223171,low,57.830228,very low,175.878466,moderate,2.029098,very low,0.405697,moderate,11.0,Gd,8.129212,very low
BARISAL,Hizla,suitable,-0.818112,near normal,91.62136,very high,2.778338,very high,207.563912,moderate,168.733197,low,115.038391,high,23.416634,low,1.919165,high,0.798107,very low,153.742757,low,61.536749,very low,178.001526,moderate,1.808142,very low,0.155529,very low,11.0,Gd,5.342112,very low
BARISAL,Barisal,suitable,-0.642467,near normal,90.814574,very high,2.79462,very high,206.989925,moderate,167.817146,low,114.357327,high,23.543646,low,1.93774,high,0.781499,very low,162.083645,low,70.870509,low,175.636102,moderate,2.146482,very low,0.22208,low,7.431373,Nd,7.590917,very low
BARISAL,Mehendiganj,suitable,-0.772354,near normal,91.131041,very high,2.784185,very high,207.430163,moderate,168.35728,low,114.776443,high,23.645922,low,1.934238,high,0.791961,very low,158.639266,low,67.000629,low,177.002597,moderate,2.439847,very low,0.118191,very low,11.0,Gd,8.171875,very low
BARISAL,Muladi,suitable,-0.833607,near normal,91.751275,very high,2.778462,very high,207.113473,moderate,164.703911,low,114.675708,high,22.925224,low,1.87695,high,0.800658,very low,149.779045,low,57.482246,very low,175.471654,moderate,2.240962,very low,0.253869,low,11.0,Gd,8.16201,very low
BARISAL,Wazirpur,suitable,-0.728308,near normal,91.580835,very high,2.741598,very high,206.834193,moderate,159.376432,low,113.857764,high,22.278036,low,1.505165,moderate,0.879962,low,152.539765,low,60.55427,very low,175.383538,moderate,1.953124,very low,0.333034,low,10.180328,Gc,8.679932,very low
BHOLA,Bhola,suitable,-0.593844,near normal,89.78769,high,2.782705,very high,207.501782,moderate,166.67738,low,113.947515,high,24.160202,moderate,1.875399,high,0.783299,very low,176.17594,low,85.919086,low,176.433212,moderate,1.882268,very low,0.204244,low,9.097561,Bd,6.742101,very low
BHOLA,Burhanuddin,marginally suitable,-0.321004,near normal,88.695378,high,2.77244,very high,207.805574,moderate,163.449478,low,113.47076,moderate,24.775384,moderate,1.806918,high,0.788316,very low,201.215278,moderate,112.088804,moderate,174.854711,moderate,1.837927,very low,0.234836,low,7.050847,Nd,5.254627,very low
BHOLA,Charfasson,marginally suitable,-0.415421,near normal,89.305875,high,2.782593,very high,208.688174,high,176.860602,moderate,114.485401,high,25.179468,moderate,1.820632,high,0.801714,very low,219.570694,moderate,129.886162,moderate,175.167034,moderate,1.769536,very low,0.161976,very low,9.0,Bd,4.249637,very low
BHOLA,Daulatkhan,suitable,-0.484196,near normal,88.93518,high,2.777408,very high,207.695971,moderate,163.750159,low,113.443842,moderate,24.509005,moderate,1.822689,high,0.778552,very low,188.756263,low,99.326273,low,172.606488,moderate,1.045028,very low,0.214009,low,6.55102,WR,6.559796,very low
BHOLA,Lalmohan,very suitable,-0.326872,near normal,88.929192,high,2.772972,very high,208.267636,moderate,169.278407,low,113.865373,high,24.934543,moderate,1.80976,high,0.792954,very low,211.508805,moderate,122.18291,moderate,174.713105,moderate,1.756581,very low,0.220603,low,7.030303,Nd,4.928433,very low
BHOLA,Monpura,not suitable,-0.537165,near normal,88.741749,high,2.766418,very high,209.110622,high,173.278837,low,114.390944,high,25.647796,moderate,1.821901,high,0.792273,very low,223.035927,moderate,133.889347,moderate,177.332081,moderate,1.745844,very low,0.057682,very low,8.583333,Jc,3.459649,very low
BHOLA,Tazumuddin,suitable,-0.386391,near normal,88.385853,high,2.772021,very high,208.260556,moderate,162.223543,low,113.68573,high,25.30007,moderate,1.794392,high,0.790684,very low,207.663371,moderate,118.818404,moderate,169.818071,moderate,0.950244,very low,0.189293,very low,4.0,Be,7.174268,very low
JHALAKATI,Jhalakati,suitable,-0.602193,near normal,91.445307,very high,2.794584,very high,206.913832,moderate,165.988541,low,115.064291,high,23.620007,low,1.915894,high,0.806762,very low,157.186517,low,65.388889,low,175.912611,moderate,2.278573,very low,0.297481,low,4.0,Be,8.796672,very low
JHALAKATI,Kathalia,not suitable,-0.372061,near normal,91.350291,very high,2.81626,very high,207.228295,moderate,170.912138,low,115.708573,high,24.357004,moderate,1.979524,high,0.805181,very low,170.54729,low,78.92357,low,175.839444,moderate,2.174585,very low,0.26152,low,4.0,Be,10.380564,very low
JHALAKATI,Nalchity,suitable,-0.539804,near normal,91.137996,very high,2.804476,very high,207.127538,moderate,168.82215,low,114.960213,high,23.824004,low,1.974441,high,0.787682,very low,164.310282,low,72.852582,low,176.02502,moderate,2.207757,very low,0.300824,low,4.0,Be,9.715447,very low
JHALAKATI,Rajapur,suitable,-0.478611,near normal,91.544066,very high,2.805515,very high,207.123428,moderate,171.671871,low,115.207244,high,23.664277,low,1.927172,high,0.802859,very low,163.562258,low,71.711725,low,176.135766,moderate,2.187693,very low,0.264548,low,4.0,Be,10.52356,very low
PATUAKHALI,Bauphal,suitable,-0.405632,near normal,90.052469,very high,2.79097,very high,207.331513,moderate,169.225389,low,114.094256,high,24.042533,moderate,1.84993,high,0.792248,very low,191.058686,low,100.633548,low,175.051079,moderate,2.014755,very low,0.224384,low,4.0,Be,5.576894,very low
PATUAKHALI,Dashmina,suitable,-0.350514,near normal,90.274158,very high,2.797914,very high,207.75374,moderate,172.409734,low,114.786046,high,24.512406,moderate,1.887296,high,0.801142,very low,202.71204,moderate,112.055266,moderate,174.254522,moderate,1.642531,very low,0.202589,low,6.046512,WR,4.634228,very low
PATUAKHALI,Galachipa,not suitable,-0.365783,near normal,90.199789,very high,2.809781,very high,207.804895,moderate,171.531376,low,115.235601,high,25.036027,moderate,1.950131,high,0.800325,very low,201.527468,moderate,110.970327,moderate,175.238923,moderate,1.732445,very low,0.142138,very low,11.367925,Gd,4.713991,very low
PATUAKHALI,Kalapara,not suitable,-0.233848,near normal,87.929026,high,2.825292,very high,207.591239,moderate,166.917357,low,114.534785,high,26.605859,moderate,1.902586,high,0.791397,very low,201.89416,moderate,113.640665,moderate,174.835093,moderate,1.759161,very low,0.163149,very low,15.0,Jt,5.085142,very low
PATUAKHALI,Mirzaganj,suitable,-0.364437,near normal,90.697711,very high,2.816209,very high,207.334021,moderate,168.601065,low,115.277537,high,24.579378,moderate,1.968933,high,0.796892,very low,180.312297,low,89.313758,low,176.146286,moderate,2.699391,very low,0.24642,low,4.0,Be,9.723035,very low
PATUAKHALI,Patuakhali,suitable,-0.377636,near normal,90.602424,very high,2.809628,very high,207.341991,moderate,169.815472,low,114.987077,high,24.384096,moderate,1.964453,high,0.792946,very low,187.138435,low,96.225112,low,175.847355,moderate,2.108925,very low,0.27584,low,4.0,Be,7.756252,very low
PIROJPUR,Bhandaria,suitable,-0.397756,near normal,91.583502,very high,2.816253,very high,207.106492,moderate,172.918365,low,115.660155,high,24.07675,moderate,1.945297,high,0.809191,very low,165.273029,low,73.400843,low,176.602507,moderate,2.309793,very low,0.222229,low,4.0,Be,9.750378,very low
PIROJPUR,Kawkhali (Pirojpur),suitable,-0.528621,near normal,91.645209,very high,2.793797,very high,206.967413,moderate,169.614976,low,115.020919,high,23.376542,low,1.828116,high,0.820506,low,158.920563,low,66.936316,low,174.725653,moderate,2.367117,very low,0.256878,low,4.0,Be,10.188917,very low
PIROJPUR,Mathbaria,moderately suitable,-0.268091,near normal,90.493698,very high,2.821049,very high,206.894803,moderate,166.67188,low,115.897923,high,25.405061,moderate,1.965429,high,0.818989,low,171.841555,low,81.045539,low,176.013146,moderate,2.163661,very low,0.231789,low,11.383562,Gd,9.087153,very low
PIROJPUR,Nazirpur,not suitable,-0.656786,near normal,91.801243,very high,2.766227,very high,206.787285,moderate,157.673865,low,114.675205,high,22.874236,low,1.60185,moderate,0.874697,low,149.358077,low,57.251109,very low,172.970965,moderate,1.729508,very low,0.354733,low,4.0,Be,8.180468,very low
PIROJPUR,Pirojpur,suitable,-0.472214,near normal,91.968702,very high,2.816691,very high,206.895675,moderate,168.94311,low,115.880449,high,23.911028,moderate,1.972508,high,0.812253,very low,155.276155,low,63.00196,very low,174.787219,moderate,2.205527,very low,0.262134,low,4.0,Be,9.748078,very low
PIROJPUR,Banaripara/Swarupkhati/Nesarabad,not suitable,-0.639092,near normal,91.547649,very high,2.774411,very high,206.929301,moderate,163.453157,low,114.496289,high,22.947641,low,1.704938,moderate,0.837578,low,154.39337,low,62.516608,very low,176.186722,moderate,2.265415,very low,0.287357,low,4.0,Be,8.65017,very low
BANDARBAN,Alikadam,not suitable,-1.771106,incipient dry spell,88.864505,high,2.499145,moderate,216.762895,very high,273.16684,very high,114.951456,high,26.087336,moderate,1.183476,low,0.936525,moderate,284.797854,high,195.470308,high,185.316048,moderate,14.938089,low,0.295686,low,10.0,Gc,180.965192,low
BANDARBAN,Bandarban,not suitable,-2.081714,mild drought,88.3403,high,2.587122,high,214.858992,very high,241.203069,high,114.682319,high,26.34177,moderate,1.169568,low,0.948923,moderate,221.154775,moderate,132.465822,moderate,188.420217,moderate,8.29474,very low,0.38919,low,10.0,Gc,51.728877,very low
BANDARBAN,Lama,not suitable,-1.88205,incipient dry spell,89.41652,high,2.596001,high,216.113631,very high,249.475266,high,116.135709,high,26.719144,moderate,1.301854,low,0.929167,moderate,258.034089,high,168.218945,high,187.128142,moderate,9.656669,very low,0.389746,low,10.0,Gc,76.617635,very low
BANDARBAN,Naikhongchhari,not suitable,-1.777409,incipient dry spell,89.864698,high,2.622808,high,216.759747,very high,254.719277,very high,117.852116,very high,27.986794,moderate,1.477149,moderate,0.919751,moderate,288.041873,very high,197.722793,high,189.871523,moderate,9.183929,very low,0.295967,low,10.0,Gc,73.438299,very low
BANDARBAN,Rowangchhari,not suitable,-2.328699,mild drought,87.595198,high,2.52451,moderate,214.825879,very high,249.538989,high,113.252003,moderate,25.655968,moderate,1.057532,very low,0.94983,moderate,222.211599,moderate,134.33907,moderate,189.322249,moderate,12.247585,very low,0.349761,low,10.0,Gc,123.384058,very low
BANDARBAN,Ruma,not suitable,-2.293672,mild drought,87.490865,high,2.448096,moderate,215.380896,very high,262.934121,very high,112.456857,moderate,24.966246,moderate,1.061517,very low,0.91581,moderate,242.704705,high,154.872429,high,189.538321,moderate,15.805855,low,0.327304,low,10.0,Gc,226.621136,low
BANDARBAN,Thanchi,not suitable,-1.896243,incipient dry spell,87.471193,high,2.418838,low,216.041994,very high,277.395207,very high,112.644849,moderate,25.173876,moderate,1.091892,very low,0.904859,moderate,273.697091,high,185.783129,high,177.881627,moderate,16.446297,low,0.222865,low,10.0,Gc,276.514835,low
BRAHMANBARIA,Akhaura,suitable,-2.231013,mild drought,87.731141,high,2.609815,high,207.751041,moderate,145.14465,low,109.432033,low,21.702617,low,0.987164,very low,0.917604,moderate,142.386549,very low,53.938597,very low,178.39645,moderate,2.381491,very low,0.203408,low,6.25,WR,7.184021,very low
BRAHMANBARIA,Bancharampur,suitable,-1.576807,incipient dry spell,88.986511,high,2.634062,high,208.760519,high,142.300938,low,110.174365,moderate,21.187942,low,1.037487,very low,0.884458,low,153.82241,low,64.191855,very low,174.698426,moderate,1.576653,very low,0.382863,low,4.0,Be,8.128472,very low
BRAHMANBARIA,Brahmanbaria,suitable,-2.247514,mild drought,87.339448,high,2.612876,high,207.402455,moderate,132.717794,very low,109.211174,low,21.872488,low,0.973548,very low,0.917193,moderate,146.702516,low,58.637505,very low,177.52131,moderate,2.198538,very low,0.391522,low,4.0,Be,6.512073,very low
BRAHMANBARIA,Kasba,suitable,-2.043619,mild drought,87.849419,high,2.614873,high,208.114605,moderate,146.254009,low,109.565188,moderate,21.715071,low,1.000697,very low,0.903937,moderate,145.054575,very low,56.491471,very low,177.783341,moderate,2.320665,very low,0.246794,low,4.367347,Be,8.082902,very low
BRAHMANBARIA,Nabinagar,suitable,-1.921025,incipient dry spell,87.546263,high,2.620642,high,208.191075,moderate,134.304619,very low,109.296272,low,21.749815,low,0.974611,very low,0.894687,low,150.110384,low,61.864529,very low,175.235042,moderate,1.794615,very low,0.409309,moderate,4.0,Be,7.19168,very low
BRAHMANBARIA,Nasirnagar,suitable,-2.473491,mild drought,86.660928,moderate,2.615977,high,207.165286,moderate,126.458375,very low,108.227094,low,21.566267,low,0.91413,very low,0.895546,low,149.284805,low,61.941544,very low,176.42505,moderate,1.928646,very low,0.448225,moderate,4.0,Be,6.303458,very low
BRAHMANBARIA,Sarail,not suitable,-2.413267,mild drought,86.620227,moderate,2.615246,high,207.348057,moderate,127.861294,very low,108.455751,low,21.8361,low,0.93866,very low,0.890632,low,148.992365,low,61.666606,very low,176.207277,moderate,1.881289,very low,0.418108,moderate,4.0,Be,7.040385,very low
CHANDPUR,Chandpur,suitable,-1.014197,incipient dry spell,91.252245,very high,2.738526,very high,208.398264,moderate,160.26226,low,114.464277,high,23.212054,low,1.843387,high,0.794041,very low,154.723985,low,62.78889,very low,177.764032,moderate,1.759153,very low,0.399139,low,4.954545,Be,7.129485,very low
CHANDPUR,Faridganj,suitable,-0.970963,near normal,90.913066,very high,2.719093,high,208.103767,moderate,163.752551,low,113.798509,high,22.887172,low,1.705845,moderate,0.817052,low,165.504428,low,73.907535,low,176.425086,moderate,2.679047,very low,0.488539,moderate,4.0,Be,7.520865,very low
CHANDPUR,Haimchar,very suitable,-0.891583,near normal,90.417615,very high,2.762519,very high,208.287243,moderate,167.648393,low,113.340099,moderate,22.923804,low,1.857976,high,0.749117,very low,156.332511,low,65.238861,low,179.24419,moderate,0.8071,very low,0.287036,low,5.272727,Ao,7.668528,very low
CHANDPUR,Hajiganj,suitable,-1.267134,incipient dry spell,91.026166,very high,2.693138,high,208.611846,high,157.924426,low,113.697167,high,22.670721,low,1.524542,moderate,0.855161,low,163.592326,low,71.871628,low,176.716313,moderate,2.38554,very low,0.466054,moderate,4.0,Be,6.226244,very low
CHANDPUR,Kachua (Chandpur),suitable,-1.377982,incipient dry spell,90.30527,very high,2.671056,high,208.661354,high,155.195173,low,112.483411,moderate,22.177655,low,1.3539,low,0.864493,low,162.947971,low,71.936912,low,174.573844,moderate,1.806685,very low,0.492711,moderate,4.0,Be,6.162285,very low
CHANDPUR,Matlab,suitable,-1.104142,incipient dry spell,91.298468,very high,2.699268,high,208.608232,high,155.492809,low,113.366162,moderate,22.067387,low,1.523782,moderate,0.837968,low,155.686788,low,63.699839,very low,176.143301,moderate,2.222372,very low,0.428596,moderate,4.367925,Be,7.637248,very low
CHANDPUR,Shaharasti,very suitable,-1.272808,incipient dry spell,89.723132,high,2.670288,high,208.710814,high,159.312678,low,112.399807,moderate,22.676035,low,1.320453,low,0.874197,low,172.596221,low,82.220888,low,175.824105,moderate,2.097517,very low,0.56069,moderate,4.0,Be,6.126608,very low
CHITTAGONG,Anwara,very suitable,-1.573469,incipient dry spell,89.583981,high,2.709044,high,214.004542,very high,215.289327,high,117.625839,very high,28.041908,moderate,1.685887,moderate,0.875141,low,218.778814,moderate,128.713076,moderate,173.597308,moderate,1.613924,very low,0.233489,low,4.4,Be,6.458287,very low
CHITTAGONG,Banshkhali,not suitable,-1.623692,incipient dry spell,89.675936,high,2.70422,high,214.545584,very high,220.845717,high,117.467653,very high,27.791909,moderate,1.69507,moderate,0.859802,low,231.68645,moderate,141.544238,moderate,181.626064,moderate,2.476379,very low,0.290047,low,6.43038,WR,9.668469,very low
CHITTAGONG,Boalkhali,suitable,-1.838154,incipient dry spell,88.470152,high,2.673731,high,213.283212,very high,219.753208,high,115.891843,high,27.420316,moderate,1.388043,low,0.92892,moderate,203.616413,moderate,114.70164,moderate,175.526101,moderate,1.626002,very low,0.299005,low,4.0,Be,6.478947,very low
CHITTAGONG,Chandanaish,not suitable,-1.892333,incipient dry spell,88.831451,high,2.642557,high,214.254376,very high,230.332677,high,115.675153,high,26.842831,moderate,1.344889,low,0.919635,moderate,218.976851,moderate,129.714841,moderate,180.578837,moderate,5.385177,very low,0.41846,moderate,7.375,Nd,25.760357,very low
CHITTAGONG,Fatikchhari,not suitable,-1.82394,incipient dry spell,87.759484,high,2.655432,high,211.047306,high,208.175619,moderate,112.772136,moderate,25.01276,moderate,1.352654,low,0.861782,low,187.919046,low,99.661637,low,174.205224,moderate,4.153118,very low,0.363382,low,8.684211,Jc,27.201639,very low
CHITTAGONG,Hathazari,not suitable,-1.697819,incipient dry spell,87.772546,high,2.690351,high,211.710344,high,206.222766,moderate,114.806077,high,27.033771,moderate,1.584998,moderate,0.850068,low,201.386444,moderate,113.141646,moderate,165.623447,moderate,4.334241,very low,0.296411,low,5.770492,Ao,23.730704,very low
CHITTAGONG,Chittagong Metro,not suitable,-1.581164,incipient dry spell,88.721498,high,2.710425,high,211.960448,high,207.799267,moderate,116.595337,high,27.873444,moderate,1.665236,moderate,0.878304,low,210.984744,moderate,121.767572,moderate,174.250423,moderate,2.218904,very low,0.154807,very low,7.483871,Nd,10.098745,very low
CHITTAGONG,Lohagara (Chittagong),not suitable,-1.870373,incipient dry spell,89.345523,high,2.649034,high,215.125927,very high,233.938814,high,116.362378,high,27.016404,moderate,1.342743,low,0.929017,moderate,234.612214,moderate,144.830518,moderate,176.999532,moderate,3.378806,very low,0.477516,moderate,10.0,Gc,15.559923,very low
CHITTAGONG,Mirsharai,very suitable,-1.599125,incipient dry spell,88.590964,high,2.691016,high,210.54456,high,196.594524,moderate,113.321492,moderate,24.731168,moderate,1.584465,moderate,0.81419,low,195.862458,moderate,106.688968,low,179.819111,moderate,3.949771,very low,0.241267,low,8.255102,Jc,23.935028,very low
CHITTAGONG,Patiya,not suitable,-1.813743,incipient dry spell,88.745997,high,2.667579,high,213.526888,very high,222.406426,high,115.954674,high,27.208334,moderate,1.420925,low,0.913575,moderate,211.641765,moderate,122.435811,moderate,178.657107,moderate,3.560644,very low,0.315819,low,6.131579,WR,15.771593,very low
CHITTAGONG,Rangunia,not suitable,-2.031861,mild drought,87.773049,high,2.629145,high,213.088673,high,229.188675,high,114.646948,high,26.874384,moderate,1.194042,low,0.968157,moderate,195.264051,moderate,107.135306,low,175.023891,moderate,4.227506,very low,0.412285,moderate,9.04,Bd,16.291781,very low
CHITTAGONG,Rauzan,very suitable,-1.922145,incipient dry spell,87.791488,high,2.665065,high,212.375487,high,217.690932,high,114.836073,high,27.04422,moderate,1.347363,low,0.918785,moderate,193.590249,moderate,105.396256,low,180.736352,moderate,2.120395,very low,0.368085,low,5.821429,Ao,8.129028,very low
CHITTAGONG,Sandwip,moderately suitable,-1.199594,incipient dry spell,87.524931,high,2.727995,very high,211.054238,high,179.210853,moderate,114.738961,high,27.213975,moderate,1.707773,moderate,0.809767,very low,208.515758,moderate,120.49005,moderate,172.530232,moderate,1.271447,very low,0.074174,very low,9.0,Bd,7.205233,very low
CHITTAGONG,Satkania,not suitable,-1.843522,incipient dry spell,89.372183,high,2.663899,high,214.549687,very high,229.094973,high,116.762766,high,27.390292,moderate,1.424436,low,0.927998,moderate,225.571407,moderate,135.755252,moderate,174.615288,moderate,3.36843,very low,0.501247,moderate,7.415385,Nd,12.219575,very low
CHITTAGONG,Sitakunda,not suitable,-1.621815,incipient dry spell,87.578775,high,2.707181,high,211.897094,high,196.686003,moderate,114.683917,high,27.10533,moderate,1.740068,high,0.795639,very low,203.158162,moderate,115.058893,moderate,185.685891,moderate,4.641783,very low,0.208987,low,9.678571,Bd,24.104846,very low
COMILLA,Barura,suitable,-1.585003,incipient dry spell,88.986994,high,2.645671,high,208.697398,high,159.923012,low,111.015473,moderate,22.028104,low,1.175254,low,0.87426,low,162.861569,low,73.177809,low,175.56984,moderate,1.869639,very low,0.507235,moderate,4.0,Be,6.502981,very low
COMILLA,Brahmanpara,suitable,-1.848829,incipient dry spell,88.276841,high,2.622338,high,208.510294,moderate,152.707586,low,110.154398,moderate,21.877219,low,1.042596,very low,0.899196,moderate,147.764088,low,58.789768,very low,175.457878,moderate,1.924671,very low,0.360632,low,4.0,Be,6.849867,very low
COMILLA,Burichang,suitable,-1.81163,incipient dry spell,88.583306,high,2.626748,high,208.492191,moderate,162.219951,low,110.36528,moderate,21.780783,low,1.087334,very low,0.888848,low,151.608771,low,62.3242,very low,176.21392,moderate,1.995894,very low,0.462236,moderate,5.285714,Ao,7.004064,very low
COMILLA,Chandina,suitable,-1.536245,incipient dry spell,89.578746,high,2.652082,high,208.632287,high,153.136516,low,111.594671,moderate,22.014907,low,1.235292,low,0.873462,low,159.96627,low,69.689963,low,174.96306,moderate,1.679428,very low,0.625043,high,4.0,Be,6.32107,very low
COMILLA,Chauddagram,suitable,-1.788628,incipient dry spell,88.369741,high,2.646241,high,209.006682,high,185.803353,moderate,110.718421,moderate,22.347998,low,1.142691,low,0.874731,low,171.647378,low,82.673173,low,177.437487,moderate,1.760874,very low,0.259216,low,11.35,Gd,7.628941,very low
COMILLA,Daudkandi,suitable,-1.316874,incipient dry spell,90.612609,very high,2.662355,high,208.763387,high,151.008467,low,112.09672,moderate,21.484149,low,1.264212,low,0.876083,low,157.411542,low,66.122809,low,175.111547,moderate,1.786355,very low,0.441862,moderate,4.0,Be,6.915024,very low
COMILLA,Debidwar,suitable,-1.64257,incipient dry spell,88.798644,high,2.634942,high,208.431281,moderate,148.775667,low,110.682452,moderate,21.884249,low,1.12111,very low,0.885029,low,154.327268,low,64.803108,very low,174.790612,moderate,1.720796,very low,0.561829,moderate,4.0,Be,6.366819,very low
COMILLA,Homna,not suitable,-1.427819,incipient dry spell,89.861747,high,2.644692,high,208.76787,high,147.111507,low,110.847738,moderate,20.986138,low,1.118436,very low,0.881924,low,155.553616,low,65.043002,low,175.207069,moderate,1.60166,very low,0.422643,moderate,4.0,Be,7.460471,very low
COMILLA,Comilla,suitable,-1.807347,incipient dry spell,88.382556,high,2.624118,high,208.674557,high,174.724923,moderate,110.010112,moderate,21.626553,low,1.037943,very low,0.895273,low,153.281599,low,64.210291,very low,175.058907,moderate,2.203329,very low,0.3383,low,9.34375,Bd,9.512113,very low
COMILLA,Laksam,suitable,-1.507708,incipient dry spell,88.641696,high,2.646561,high,208.884533,high,169.387039,low,111.148918,moderate,22.508345,low,1.144311,low,0.892796,low,171.317875,low,82.119538,low,174.498283,moderate,1.672483,very low,0.431622,moderate,4.0,Be,6.248814,very low
COMILLA,Muradnagar,suitable,-1.682976,incipient dry spell,88.667607,high,2.633161,high,208.429659,moderate,143.152183,low,110.368417,moderate,21.701904,low,1.077735,very low,0.890647,low,153.049486,low,63.686554,very low,174.886057,moderate,1.688786,very low,0.424357,moderate,4.0,Be,6.939634,very low
COMILLA,Nangolkot,suitable,-1.536041,incipient dry spell,88.600958,high,2.655962,high,208.871213,high,180.458922,moderate,111.164108,moderate,22.56268,low,1.180212,low,0.878688,low,181.755335,low,92.622306,low,174.123411,moderate,1.633306,very low,0.384334,low,4.155172,Be,6.566444,very low
COX'S BAZAR,Chakaria,not suitable,-1.723839,incipient dry spell,90.37084,very high,2.696334,high,215.728496,very high,231.13694,high,118.670599,very high,28.298917,moderate,1.659209,moderate,0.895627,low,252.31327,high,161.52245,high,179.494143,moderate,3.055651,very low,0.316157,low,8.251969,Jc,9.822879,very low
COX'S BAZAR,Cox's Bazar,not suitable,-1.722534,incipient dry spell,90.344184,very high,2.722628,very high,216.887807,very high,233.652599,high,120.145652,very high,29.801978,high,1.850964,high,0.874757,low,267.21618,high,176.425164,high,177.743801,moderate,2.465584,very low,0.316244,low,6.4,WR,5.99851,very low
COX'S BAZAR,Kutubdia,moderately suitable,-1.466753,incipient dry spell,90.685851,very high,2.722676,very high,214.523608,very high,219.79063,high,118.892187,very high,28.206598,moderate,1.798524,high,0.877769,low,241.914058,high,150.817706,moderate,184.427402,moderate,0.735194,very low,0.076099,very low,4.0,Be,4.653326,very low
